"","popseceduP","labrateP","lifebirth","mmr","abirth","prp","gnicap"
"Norway",1.00723888314374,0.890829694323144,81.6,4,7.8,39.6,64992
"Australia",0.996828752642706,0.818941504178273,82.4,6,12.1,30.5,42261
"Switzerland",0.98343685300207,0.825100133511348,83,6,1.9,28.5,56431
"Denmark",0.988612836438924,0.884036144578313,80.2,5,5.1,38,44025
"Netherlands",0.969060773480663,0.828611898016997,81.6,6,6.2,36.9,45435
"Germany",0.992783505154639,0.807228915662651,80.9,7,3.8,36.9,43919
"Ireland",1.02417302798982,0.779735682819383,80.9,9,8.2,19.9,39568
"United States",1.00316455696203,0.817126269956459,79.1,28,31,19.4,52947
"Canada",1,0.867605633802817,82,11,14.5,28.2,42155
"New Zealand",0.99685204616999,0.840108401084011,81.8,8,25.3,31.4,32689
"Singapore",0.914814814814815,0.761658031088083,83,6,6,25.3,76628
"Sweden",0.990836197021764,0.888070692194403,82.2,4,6.5,43.6,45636
"United Kingdom",0.998998998998999,0.810771470160116,80.7,8,25.8,23.5,39267
"Iceland",0.993449781659389,0.910852713178295,82.6,4,11.5,41.3,35182
"Korea (Republic of)",0.864197530864198,0.694868238557559,81.9,27,2.2,16.3,33890
"Israel",0.966781214203895,0.837916063675832,82.4,2,7.8,22.5,30676
"Luxembourg",1,0.784829721362229,81.7,11,8.3,28.3,58711
"Japan",1.01398601398601,0.693181818181818,83.5,6,5.4,11.6,36927
"Belgium",0.934861278648975,0.801011804384486,80.8,6,6.7,42.4,41187
"France",0.9375,0.823051948051948,82.2,12,5.7,25.7,38056
"Austria",1,0.806499261447563,81.4,4,4.1,30.3,43869
"Finland",1,0.8703125,80.8,4,9.2,42.5,38695
"Slovenia",0.977551020408163,0.82753164556962,80.4,7,0.6,27.7,27852
"Spain",0.913816689466484,0.797872340425532,82.6,4,10.6,38,32045
"Italy",0.884472049689441,0.665546218487395,83.1,4,4,30.1,33030
"Czech Republic",1.00200601805416,0.748169838945827,78.6,5,4.9,18.9,26660
"Greece",0.888059701492537,0.7072,80.9,5,11.9,21,24524
"Estonia",1,0.815674891146589,76.8,11,16.8,19.8,25214
"Cyprus",0.930232558139535,0.787623066104079,80.2,10,5.5,12.5,28633
"Qatar",1.13050847457627,0.531937172774869,78.2,6,9.5,0,123124
"Slovakia",0.995979899497487,0.744897959183674,76.3,7,15.9,18.7,25845
"Poland",0.928654970760234,0.75346687211094,77.4,3,12.2,22.1,23177
"Lithuania",0.944856839872746,0.829123328380386,73.3,11,10.6,23.4,24500
"Malta",0.877237851662404,0.571644042232277,80.6,9,18.2,13,27930
"Saudi Arabia",0.860597439544808,0.257982120051086,74.3,16,10.2,19.9,52821
"Argentina",0.977430555555555,0.633333333333333,76.3,69,54.4,36.8,22050
"United Arab Emirates",1.19444444444444,0.505434782608696,77,8,27.6,17.5,60868
"Chile",0.959424083769633,0.657754010695187,81.7,22,55.3,15.8,21290
"Portugal",0.989626556016598,0.829305135951662,80.9,8,12.6,31.3,25757
"Hungary",0.991894630192503,0.746666666666667,75.2,14,12.1,10.1,22916
"Bahrain",1.10311284046693,0.451093210586881,76.6,22,13.8,15,38599
"Latvia",0.998989898989899,0.812130177514793,74.2,13,13.5,18,22281
"Croatia",0.908119658119658,0.76541095890411,77.3,13,12.7,25.8,19409
"Kuwait",0.987566607460036,0.524669073405536,74.4,14,14.5,1.5,83961
"Montenegro",0.889123548046463,0.75043630017452,76.2,7,15.2,17.3,14558
"Belarus",0.943600867678959,0.793977812995246,71.3,1,20.6,30.1,16676
"Russian Federation",0.968648648648649,0.796373779637378,70.1,24,25.7,14.5,22352
"Oman",0.82661996497373,0.351089588377724,76.8,11,10.6,9.6,34858
"Romania",0.935869565217391,0.750385208012327,74.7,33,31,12,18108
"Uruguay",1.08151093439364,0.723958333333333,77.2,14,58.3,11.5,19283
"Bahamas",1.04109589041096,0.873896595208071,75.4,37,28.5,16.7,21336
"Kazakhstan",0.964574898785425,0.869062901155327,69.4,26,29.9,20.1,20867
"Barbados",1.02052451539339,0.860313315926893,75.6,52,48.4,19.6,12488
"Bulgaria",0.971786833855799,0.811864406779661,74.2,5,35.9,20.4,15596
"Panama",1.08216432865731,0.599022004889976,77.6,85,78.5,19.3,18192
"Malaysia",0.91304347826087,0.588079470198675,74.7,29,5.7,14.2,22762
"Mauritius",0.851724137931034,0.587601078167116,74.4,73,30.9,11.6,17470
"Trinidad and Tobago",0.980295566502463,0.701986754966887,70.4,84,34.8,24.7,26090
"Serbia",0.793478260869565,0.730706075533662,74.9,16,16.9,34,12190
"Cuba",0.942893401015228,0.62,79.4,80,43.1,48.9,7301
"Lebanon",0.956678700361011,0.328631875881523,79.3,16,12,3.1,16509
"Costa Rica",1.0039603960396,0.589873417721519,79.4,38,60.8,33.3,13413
"Iran (Islamic Republic of)",0.920118343195266,0.22554347826087,75.4,23,31.6,3.1,15440
"Venezuela (Bolivarian Republic of)",1.11417322834646,0.64520202020202,74.2,110,83.2,17,16159
"Turkey",0.65,0.415254237288136,75.3,20,30.9,14.4,18677
"Sri Lanka",0.951570680628272,0.46002621231979,74.9,29,16.9,5.8,9779
"Mexico",0.919141914191419,0.564455569461827,76.8,49,63.4,37.1,16056
"Brazil",1.04198473282443,0.735148514851485,74.5,69,70.8,9.6,15175
"Georgia",0.967637540453074,0.752330226364847,74.9,41,46.8,11.3,7164
"Azerbaijan",0.962012320328542,0.903735632183908,70.8,26,40,15.6,16428
"Jordan",0.885350318471338,0.234234234234234,74,50,26.5,11.6,11365
"The former Yugoslav Republic of Macedonia",0.723021582733813,0.638518518518518,75.4,7,18.3,33.3,11780
"Ukraine",0.956204379562044,0.795216741405082,71,23,25.7,11.8,8178
"Algeria",0.861290322580645,0.210526315789474,74.8,89,10,25.7,13054
"Peru",0.851739788199697,0.808056872037915,74.6,89,50.7,22.3,11015
"Albania",0.930602957906712,0.685496183206107,77.8,21,15.3,20.7,9943
"Armenia",0.989473684210526,0.746556473829201,74.7,29,27.1,10.7,8124
"Bosnia and Herzegovina",0.643266475644699,0.595113438045375,76.5,8,15.1,19.3,9638
"Ecuador",1.01776649746193,0.66142684401451,75.9,87,77,41.6,10605
"China",0.816411682892907,0.816091954022989,75.8,32,8.6,23.6,12547
"Fiji",0.995348837209302,0.520833333333333,70,59,42.8,14,7493
"Mongolia",1.01426872770511,0.816738816738817,69.4,68,18.7,14.9,10729
"Thailand",0.875,0.796778190830235,74.4,26,41,6.1,13323
"Libya",1.32458233890215,0.392670157068063,71.6,15,2.5,16,14911
"Tunisia",0.711496746203904,0.354019746121298,74.8,46,4.6,31.3,10404
"Colombia",1.02338129496403,0.700125470514429,74,83,68.5,20.9,12040
"Jamaica",1.05413105413105,0.791255289139633,75.7,80,70.1,16.7,7415
"Tonga",0.990939977349943,0.7171581769437,72.8,120,18.1,0,5069
"Belize",1.00791556728232,0.597812879708384,70,45,71.4,13.3,7614
"Dominican Republic",1.04708097928437,0.652671755725191,73.5,100,99.6,19.1,11883
"Suriname",0.94692144373673,0.588662790697674,71.1,130,35.2,11.8,15617
"Maldives",0.834862385321101,0.725161290322581,76.8,31,4.2,5.9,12328
"Samoa",1.07166666666667,0.402397260273973,73.4,58,28.3,6.1,5327
"Botswana",0.944801026957638,0.881127450980392,64.5,170,44.2,9.5,16646
"Moldova (Republic of)",0.968944099378882,0.850678733031674,71.6,21,29.3,20.8,5223
"Egypt",0.724422442244224,0.316844919786096,71.1,45,43,2.2,10512
"Gabon",1.49307479224377,0.859327217125382,64.4,240,103,16.2,16367
"Indonesia",0.810975609756098,0.610451306413302,68.9,190,48.3,17.1,9788
"Paraguay",0.855813953488372,0.65683962264151,72.9,110,67,16.8,7643
"Philippines",1.03453689167975,0.641154328732748,68.2,120,46.8,27.1,7915
"El Salvador",0.844036697247706,0.605063291139241,73,69,76,27.4,7349
"South Africa",0.957839262187088,0.735537190082645,57.4,140,50.9,40.7,12122
"Viet Nam",0.834269662921348,0.888077858880779,75.8,49,29,24.3,5092
"Bolivia (Plurinational State of)",0.805414551607445,0.793572311495674,68.3,200,71.9,51.8,5760
"Kyrgyzstan",0.976239669421488,0.70440251572327,70.6,75,29.3,23.3,3044
"Iraq",0.553784860557769,0.213467048710602,69.4,67,68.7,26.5,14003
"Guyana",1.26150627615063,0.529192546583851,66.4,250,88.5,31.3,6522
"Nicaragua",1.02872062663185,0.590286425902864,74.9,100,100.8,39.1,4457
"Morocco",0.685430463576159,0.349604221635884,74,120,35.8,11,6850
"Namibia",0.968023255813953,0.858712715855573,64.8,130,54.9,37.7,9418
"Guatemala",0.943965517241379,0.558956916099773,71.8,140,97.2,13.3,6929
"Tajikistan",1.04276315789474,0.763942931258106,69.4,44,42.8,15.2,2517
"India",0.477031802120141,0.337922403003755,68,190,32.8,12.2,5497
"Honduras",1.08527131782946,0.516284680337756,73.1,120,84,25.8,3938
"Bhutan",0.985507246376812,0.863989637305699,69.5,120,40.9,8.3,7176
"Syrian Arab Republic",0.728395061728395,0.185694635488308,69.6,49,41.6,12.4,2728
"Congo",0.84468085106383,0.938356164383562,62.3,410,126.7,11.5,6012
"Zambia",0.586363636363636,0.853971962616822,60.1,280,125.4,12.7,3734
"Ghana",0.698608964451314,0.942577030812325,61.4,380,58.4,10.9,3852
"Bangladesh",0.825665859564165,0.682520808561237,71.6,170,80.6,20,3191
"Cambodia",0.432314410480349,0.910982658959538,68.4,170,44.3,19,2949
"Kenya",0.805732484076433,0.859116022099447,61.6,400,93.6,20.8,2762
"Nepal",0.463350785340314,0.917336394948335,69.6,190,73.7,29.5,2311
"Pakistan",0.418655097613883,0.296743063932449,66.2,170,27.3,19.7,4866
"Myanmar",1.49673202614379,0.913730255164034,65.9,200,12.1,4.7,4608
"Swaziland",0.842307692307692,0.613128491620112,49,310,72,14.7,5542
"Tanzania (United Republic of)",0.589473684210526,0.976718403547672,65,410,122.7,36,2411
"Cameroon",0.610315186246418,0.830729166666667,55.5,590,115.8,27.1,2803
"Zimbabwe",0.785483870967742,0.927536231884058,57.5,470,60.3,35.1,1615
"Mauritania",0.397129186602871,0.36283185840708,63.1,320,73.3,22.2,3560
"Papua New Guinea",0.524137931034483,0.952702702702703,62.6,220,62.1,2.7,2463
"Yemen",0.322097378277154,0.35180055401662,63.8,270,47,0.7,3519
"Lesotho",1.15263157894737,0.802721088435374,49.8,490,89.4,26.8,3306
"Togo",0.399503722084367,0.991389913899139,59.7,450,91.5,17.6,1228
"Haiti",0.636363636363636,0.857746478873239,62.8,380,42,3.5,1669
"Rwanda",0.909090909090909,1.01289566236811,64.2,320,33.6,57.5,1458
"Uganda",0.683582089552239,0.957070707070707,58.5,360,126.6,35,1613
"Benin",0.418518518518519,0.863346104725415,59.6,340,90.2,8.4,1767
"Sudan",0.664835164835165,0.411842105263158,63.5,360,84,23.8,3809
"Senegal",0.467532467532468,0.75,66.5,320,94.4,42.7,2188
"Afghanistan",0.197986577181208,0.19874213836478,60.4,400,86.8,27.6,1885
"Côte d'Ivoire",0.465116279069767,0.643734643734644,51.5,720,130.3,9.2,3171
"Malawi",0.513888888888889,1.03803680981595,62.8,510,144.8,16.7,747
"Ethiopia",0.428571428571429,0.875699888017917,64.1,420,78.4,25.5,1428
"Gambia",0.552380952380952,0.870928829915561,60.2,430,115.8,9.4,1507
"Congo (Democratic Republic of the)",0.395061728395062,0.965846994535519,58.7,730,135.3,8.2,680
"Liberia",0.391857506361323,0.898148148148148,60.9,640,117.4,10.7,805
"Mali",0.509933774834437,0.624078624078624,58,550,175.6,9.5,1583
"Mozambique",0.225806451612903,1.03260869565217,55.1,480,137.8,39.6,1123
"Sierra Leone",0.460829493087558,0.952173913043478,50.9,1100,100.7,12.4,1780
"Burkina Faso",0.28125,0.856666666666667,58.7,400,115.4,13.3,1591
"Burundi",0.63855421686747,1.01585365853659,56.7,740,30.3,34.9,758
"Chad",0.171717171717172,0.808080808080808,51.6,980,152,14.9,2085
"Central African Republic",0.378277153558052,0.853113983548766,50.7,880,98.3,12.5,581
"Niger",0.307692307692308,0.445930880713489,61.4,630,204.8,13.3,908
